1597748063.1935282,0.020803333333333333,0.0597435,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748063.4885743,0.020792666666666668,0.0597545,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748063.690054,0.020786000000000002,0.05976133333333333,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748063.9901834,0.0207755,0.05977216666666666,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748064.2919781,0.020765,0.059782666666666665,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748064.586492,0.020754500000000002,0.05979333333333334,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748064.7865145,0.020747166666666667,0.05980066666666666,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748064.9865978,0.020740333333333336,0.05980766666666667,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748065.1911678,0.020733333333333333,0.05981483333333334,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748065.3922815,0.020726666666666668,0.05982166666666667,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748065.6029272,0.020719666666666667,0.05982883333333333,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748065.8855555,0.020708999999999998,0.059839833333333335,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748066.0892813,0.020702333333333333,0.05984683333333333,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748066.3917115,0.020692166666666668,0.05985766666666667,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748066.6851015,0.020681666666666664,0.059869,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748066.8887126,0.020675166666666668,0.059876000000000006,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748067.0911398,0.020668000000000002,0.05988366666666667,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748067.291133,0.02066166666666667,0.05989083333333333,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748067.5910044,0.0206515,0.059902000000000004,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748067.791514,0.0206415,0.059913,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748068.0908368,0.0206345,0.059920666666666664,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748068.3885057,0.020625,0.05993116666666667,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748068.589857,0.020617666666666666,0.05993916666666667,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748068.7899256,0.020611166666666667,0.05994616666666666,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748068.990037,0.020600833333333336,0.059957333333333335,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748069.2918153,0.020594333333333333,0.05996433333333333,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748069.6049159,0.020583999999999998,0.05997533333333334,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748069.8947082,0.020573666666666667,0.059986333333333336,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748070.1901498,0.020563500000000002,0.05999683333333334,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748070.4930434,0.020553166666666668,0.06000783333333334,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748070.7912514,0.020542833333333333,0.060018833333333334,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748071.0907066,0.020532666666666664,0.0600295,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748071.3846016,0.020522,0.060040666666666666,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748071.585763,0.020515166666666664,0.060048,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748071.7868154,0.020508333333333333,0.060055333333333336,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748071.9933624,0.020501333333333333,0.06006266666666667,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748072.290677,0.02049133333333333,0.06007333333333333,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748072.5419502,0.020484666666666665,0.060080666666666664,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748072.7872462,0.02047416666666667,0.060092,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748072.9874191,0.02046433333333333,0.060102666666666665,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748073.1928263,0.02046066666666667,0.06010666666666666,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748073.4106388,0.020454000000000003,0.060114,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748073.6191366,0.02044716666666667,0.06012133333333333,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748073.8908477,0.020437,0.060132333333333336,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748074.1925306,0.020427166666666666,0.060143166666666664,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748074.394354,0.020420333333333332,0.06015033333333333,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748074.5962713,0.020413666666666667,0.060157666666666665,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748074.7970638,0.0204065,0.06016533333333333,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748074.9996195,0.020399999999999998,0.0601725,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748075.2035096,0.020392999999999998,0.06018,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748075.4055424,0.020386166666666667,0.06018716666666667,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748075.6875582,0.020376166666666664,0.060198,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748075.8878987,0.020369,0.06020566666666667,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748076.088035,0.020359000000000002,0.06021633333333333,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748076.2881958,0.020352166666666668,0.06022366666666667,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748076.4917078,0.0203485,0.060227499999999996,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748076.691655,0.020338000000000002,0.0602385,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748076.9902353,0.020331333333333333,0.0602455,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748077.291761,0.020321166666666668,0.060256500000000005,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748077.590893,0.020310833333333334,0.0602675,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748077.797312,0.020303833333333333,0.06027483333333334,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748078.0887377,0.020293833333333334,0.06028566666666667,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748078.3895743,0.0202835,0.060296666666666665,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748078.6893167,0.02027333333333333,0.06030766666666666,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748078.8915174,0.0202665,0.060315,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748079.1076744,0.02025983333333333,0.06032233333333333,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748079.3883822,0.0202495,0.060333333333333336,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748079.6020517,0.0202425,0.060341,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748079.8877928,0.020232333333333335,0.060351999999999996,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748080.1900017,0.020222333333333335,0.06036283333333334,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748080.4902523,0.020212,0.060373833333333335,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748080.788861,0.020201833333333332,0.06038483333333333,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748080.990891,0.020195,0.06039216666666667,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748081.2883732,0.020184666666666667,0.06040316666666667,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748081.4903584,0.020177666666666667,0.0604105,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748081.6924846,0.020170499999999997,0.06041816666666667,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748081.983915,0.020160333333333332,0.060429166666666666,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748082.1861987,0.020153499999999998,0.060436333333333335,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748082.3927743,0.0201465,0.060443666666666666,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748082.7784674,0.020136166666666667,0.060454666666666663,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748082.9854867,0.020125999999999998,0.06046566666666667,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748083.1909819,0.020119333333333333,0.06047266666666666,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748083.3948014,0.0201125,0.06048,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748083.689656,0.020102166666666664,0.060490999999999996,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748083.8909924,0.020095,0.060498500000000004,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748084.1913743,0.020085166666666664,0.06050933333333333,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748084.3918679,0.020078166666666668,0.06051666666666666,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748084.6910734,0.020067666666666664,0.060528,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748084.8941762,0.020061166666666668,0.060535,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748085.1868675,0.020050666666666668,0.060546333333333334,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748085.3883128,0.020043833333333334,0.060553666666666665,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748085.6106527,0.020036833333333334,0.060561,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748085.8844876,0.02002666666666667,0.06057183333333334,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748086.19204,0.0200165,0.060582833333333336,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748086.491195,0.020006166666666665,0.06059383333333333,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748086.7859638,0.019995833333333334,0.06060483333333333,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748086.9859898,0.0199855,0.060615833333333334,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748087.2901154,0.019978666666666665,0.060623166666666665,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748087.5887978,0.01996833333333333,0.060634,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748087.7892032,0.019958,0.060645,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748088.0869796,0.01995116666666667,0.06065233333333333,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748088.2874851,0.019944,0.060660000000000006,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748088.49043,0.019937166666666666,0.06066733333333333,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748088.787929,0.019926833333333335,0.06067816666666667,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748089.085586,0.01991683333333333,0.06068883333333333,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748089.2863338,0.019909666666666666,0.0606965,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748089.490274,0.01990283333333333,0.06070383333333333,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748089.696013,0.019896166666666666,0.06071083333333334,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748089.988196,0.0198855,0.06072216666666667,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748090.188424,0.019875333333333335,0.060733,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748090.388959,0.01987183333333333,0.06073683333333334,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748090.5893257,0.019865166666666666,0.060744,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748090.7904685,0.019858333333333332,0.06075133333333334,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748090.9966092,0.019851333333333332,0.06075866666666666,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748091.2863657,0.019840666666666666,0.06077,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748091.4931076,0.019833833333333332,0.060777333333333336,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748091.7909565,0.0198235,0.06078833333333333,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748091.9925838,0.019816666666666666,0.06079566666666667,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748092.2866733,0.0198065,0.06080633333333333,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748092.4905999,0.019799333333333332,0.060814,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748092.7911258,0.019789333333333332,0.060824666666666666,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748093.0875595,0.019779333333333333,0.06083533333333333,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748093.3911893,0.019768833333333333,0.060846500000000005,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748093.690005,0.019758500000000002,0.0608575,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748093.8919995,0.019751499999999998,0.06086483333333333,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748094.1899753,0.019741,0.06087616666666666,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748094.3908908,0.019734333333333333,0.06088316666666667,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597748094.6931689,0.019723833333333333,0.060894166666666666,0.0,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
