Time, PropellorRPM,RSA,Longitude,Latitude, Heading, speed_knts, ROT, surge, sway, PropRPM_demand_pct,Rudder_demand_pct
0,-5.03E-08,0,4.481623333,51.90571717,232.788,0,0.186874,-126.39,-128.32,0,0
0.418540001,-4.79E-08,0,4.481623333,51.90571717,232.789,0,0.186874,-126.39,-128.32,0,0
0.838089943,-0.000000046,0,4.481623333,51.90571717,232.791,0,0.157368,-126.39,-128.32,0,0
1.273689985,-4.38E-08,0,4.481623333,51.90571717,232.792,0,0.147532,-126.39,-128.32,0,0
1.693719864,-0.000000042,0,4.481623333,51.90571717,232.793,0,0.137697,-126.39,-128.32,0,0
2.112309933,-4.07E-08,0,4.481623333,51.90571717,232.794,0,0.137697,-126.39,-128.32,0,0
2.551499844,-3.88E-08,0,4.481623333,51.90571717,232.795,0,0.167203,-126.39,-128.32,0,0
2.964489937,-3.72E-08,0,4.481623333,51.90571717,232.796,0,0.196709,-126.39,-128.32,0,0
3.38000989,-3.55E-08,0,4.481623333,51.90571717,232.797,0,0.186874,-126.39,-128.32,0,0
3.814990044,-3.41E-08,0,4.481623333,51.90571717,232.799,0,0.147532,-126.39,-128.32,100,0
4.258970022,85.1861,0,4.481623333,51.90571717,232.8,0,0.147532,-126.39,-128.32,100,0
4.678659916,242.804,0,4.481623333,51.90571717,232.801,0,0.0196709,-126.39,-128.33,100,0
5.10036993,359.706,0,4.481623167,51.905717,232.8,0.2,-0.265558,-126.41,-128.35,100,0
5.526859999,407.671,0,4.4816225,51.90571667,232.798,0.5,-0.354077,-126.46,-128.42,100,0
5.950949907,419.709,0,4.4816205,51.90571583,232.796,0.9,-0.0983547,-126.59,-128.59,100,0
6.366909981,434.002,0,4.481618,51.90571467,232.797,1.2,0.373748,-126.74,-128.78,100,0
6.785349846,445.65,0,4.481614833,51.90571317,232.801,1.5,0.668812,-126.93,-129.03,100,0
7.207229853,454.919,0,4.481610833,51.90571133,232.806,1.9,0.836015,-127.16,-129.34,100,0
7.641829967,472.368,0,4.481604333,51.90570817,232.811,2.4,0.481938,-127.52,-129.81,100,0
8.07660985,480.949,0,4.481598333,51.90570533,232.811,2.7,-0.708154,-127.87,-130.28,100,0
8.498389959,496.126,0,4.481591167,51.90570217,232.804,3.1,-1.2196,-128.26,-130.78,100,0
8.926749945,507.815,0,4.481581667,51.9056975,232.797,3.5,-0.717989,-128.69,-131.36,100,0
9.364670038,522.108,0,4.4815725,51.90569333,232.796,4,0.501609,-129.28,-132.13,100,0
9.787359953,533.978,0,4.481562667,51.90568867,232.801,4.4,0.983547,-129.82,-132.85,100,0
10.20914984,542.725,0,4.481551667,51.9056835,232.807,4.8,0.73766,-130.41,-133.63,100,0
10.62835002,557.81,0,4.481539667,51.90567783,232.81,5.2,0.0983547,-131.06,-134.47,100,0
11.04532981,569.271,0,4.481524167,51.90567067,232.808,5.7,-0.570457,-131.9,-135.58,100,0
11.46331,583.88,0,4.48151,51.905664,232.804,6.1,-0.914699,-132.68,-136.62,100,0
11.88561988,595.687,0,4.481494833,51.90565683,232.798,6.5,-0.334406,-133.49,-137.68,100,0
