timestamp,payload
2020-11-27T13:59:03.507101,"$SDDPT,7.72,0.00,100.0*56"
2020-11-27T13:59:03.530747,"$GPRMC,125901,A,5153.8108,N,00428.3615,E,007.1,114.,271120,01.,E*40"
2020-11-27T13:59:03.584842,"$WIMDA,30.0822,I,1.0187,B,6.7,C,,,,,,,101.3,T,100.8,M,9.0,N,4.6,M*1E"
2020-11-27T13:59:03.587710,"$SDDBT,25.33,f,7.72,M,4.22,F*07"
2020-11-27T13:59:03.626288,"$YXMTW,36.9,C*1E"
2020-11-27T13:59:03.632934,"$GPGLL,5153.8108,N,00428.3615,E,125901.00,A*06"
2020-11-27T13:59:03.656404,"$HEROT,44.59,A*27"
2020-11-27T13:59:03.703940,"$GPVTG,114.4,T,,,007.1,N,013.1,K*28"
2020-11-27T13:59:03.716229,"$YXXDR,C,1.2,C,WCHR,C,2.6,C,WCHT,C,,C,HINX,P,1.0174,B,STNP*4F"
2020-11-27T13:59:03.732732,"$VDVBW,007.64,,A,00.00,00.00,V,,V,00.00,V*73"
2020-11-27T13:59:03.746606,"$GPROT,-0008.1,A*25"
2020-11-27T13:59:03.792034,"$YXXDR,A,-4.7,D,PTCH,A,0.6,D,ROLL*75"
2020-11-27T13:59:03.797460,"$VDVLW,9917.01,N,5847.02,N*54"
2020-11-27T13:59:03.811427,"$GPDTM,W84,,0,N,0,E,+0,W84*5A"
2020-11-27T13:59:03.832291,"$HCHDT,93.1,T*12"
2020-11-27T13:59:03.891186,"$WIMWV,351.3,R,16.0,N,A*10"
2020-11-27T13:59:03.896137,"$GPZDA,125901.00,27,11,2020,-02,00*42"
2020-11-27T13:59:03.942380,"$HEROT,44.70,A*2C"
2020-11-27T13:59:03.978424,"$GPVTG,115.0,T,114.5,M,7.1,N,13.1,K,D*17"
2020-11-27T13:59:04.058098,"$GPZDA,125903.80,27,11,2020,00,00*67"
2020-11-27T13:59:04.228424,"$GPHDT,117.4,T*36"
2020-11-27T13:59:04.232407,"$HEROT,44.86,A*25"
2020-11-27T13:59:04.344857,"$GPGGA,125904.10,5153.8097,N,00428.3625,E,2,9,1.1,11.5,M,44.9,M,,*68"
2020-11-27T13:59:04.378324,"$HCHDT,93.4,T*17"
2020-11-27T13:59:04.387198,"$GPGGA,125902,5153.8098,N,00428.3642,E,2,04,06,+0006,M,+047,M,00,0000*63"
2020-11-27T13:59:04.437216,"$WIMWV,352.4,R,15.8,N,A*1F"
2020-11-27T13:59:04.509125,"$SDDPT,7.69,0.00,100.0*5C"
2020-11-27T13:59:04.514411,"$HEROT,44.83,A*20"
2020-11-27T13:59:04.530828,"$GPRMC,125902,A,5153.8098,N,00428.3642,E,007.1,115.,271120,01.,E*48"
2020-11-27T13:59:04.584885,"$WIMDA,30.0822,I,1.0187,B,6.7,C,,,,,,,102.1,T,101.6,M,8.8,N,4.5,M*1A"
2020-11-27T13:59:04.587734,"$SDDBT,25.23,f,7.69,M,4.20,F*0E"
2020-11-27T13:59:04.628976,"$GPGLL,5153.8098,N,00428.3642,E,125902.00,A*0F"
2020-11-27T13:59:04.630610,"$YXMTW,36.9,C*1E"
2020-11-27T13:59:04.636770,"$VDVBW,007.63,,A,00.00,00.00,V,,V,00.00,V*74"
2020-11-27T13:59:04.697515,"$VDVLW,9917.01,N,5847.02,N*54"
2020-11-27T13:59:04.703988,"$GPVTG,115.7,T,,,007.1,N,013.1,K*2A"
2020-11-27T13:59:04.716250,"$YXXDR,C,1.3,C,WCHR,C,2.7,C,WCHT,C,,C,HINX,P,1.0174,B,STNP*4F"
2020-11-27T13:59:04.746617,"$GPROT,-0004.1,A*29"
2020-11-27T13:59:04.792087,"$YXXDR,A,-4.5,D,PTCH,A,2.8,D,ROLL*7B"
2020-11-27T13:59:04.800425,"$HEROT,41.91,A*26"
2020-11-27T13:59:04.811490,"$GPDTM,W84,,0,N,0,E,+0,W84*5A"
2020-11-27T13:59:04.832334,"$HCHDT,93.8,T*1B"
2020-11-27T13:59:04.891240,"$WIMWV,351.9,R,16.1,N,A*1B"
2020-11-27T13:59:04.896212,"$GPZDA,125902.00,27,11,2020,-02,00*41"
2020-11-27T13:59:04.980447,"$GPVTG,116.2,T,115.7,M,7.1,N,13.1,K,D*15"
2020-11-27T13:59:05.058157,"$GPZDA,125904.80,27,11,2020,00,00*60"
2020-11-27T13:59:05.086450,"$HEROT,38.04,A*24"
2020-11-27T13:59:05.228523,"$GPHDT,117.9,T*3B"
2020-11-27T13:59:05.344887,"$GPGGA,125905.10,5153.8087,N,00428.3654,E,2,9,0.9,11.5,M,44.9,M,,*67"
2020-11-27T13:59:05.372459,"$HEROT,33.38,A*20"
2020-11-27T13:59:05.376386,"$HCHDT,94.0,T*14"
2020-11-27T13:59:05.387234,"$GPGGA,125903,5153.8088,N,00428.3671,E,2,04,06,+0006,M,+047,M,00,0000*63"
2020-11-27T13:59:05.435231,"$WIMWV,350.9,R,16.0,N,A*1B"
2020-11-27T13:59:05.511167,"$SDDPT,7.75,0.00,100.0*51"
2020-11-27T13:59:05.530818,"$GPRMC,125903,A,5153.8088,N,00428.3671,E,007.1,117.,271120,01.,E*4A"
2020-11-27T13:59:05.582822,"$WIMDA,30.0852,I,1.0188,B,6.7,C,,,,,,,100.0,T,99.5,M,8.9,N,4.6,M*20"
2020-11-27T13:59:05.589676,"$SDDBT,25.42,f,7.75,M,4.23,F*07"
2020-11-27T13:59:05.628986,"$GPGLL,5153.8088,N,00428.3671,E,125903.00,A*0F"
2020-11-27T13:59:05.632379,"$YXMTW,36.9,C*1E"
2020-11-27T13:59:05.656484,"$HEROT,25.92,A*27"
2020-11-27T13:59:05.704033,"$GPVTG,117.1,T,,,007.1,N,013.1,K*2E"
2020-11-27T13:59:05.714307,"$YXXDR,C,1.3,C,WCHR,C,2.7,C,WCHT,C,,C,HINX,P,1.0175,B,STNP*4E"
2020-11-27T13:59:05.746653,"$GPROT,-0000.7,A*2B"
2020-11-27T13:59:05.790137,"$YXXDR,A,-4.3,D,PTCH,A,1.5,D,ROLL*73"
2020-11-27T13:59:05.811609,"$GPDTM,W84,,0,N,0,E,+0,W84*5A"
2020-11-27T13:59:05.830394,"$HCHDT,94.2,T*16"
2020-11-27T13:59:05.856821,"$VDVBW,007.63,,A,00.00,00.00,V,,V,00.00,V*74"
2020-11-27T13:59:05.889268,"$WIMWV,351.1,R,16.0,N,A*12"
2020-11-27T13:59:05.894219,"$GPZDA,125903.00,27,11,2020,-02,00*40"
2020-11-27T13:59:05.919615,"$VDVLW,9917.01,N,5847.02,N*54"
2020-11-27T13:59:05.942498,"$HEROT,18.67,A*23"
2020-11-27T13:59:05.978487,"$GPVTG,115.8,T,115.3,M,7.1,N,13.1,K,D*18"
2020-11-27T13:59:06.058141,"$GPZDA,125905.80,27,11,2020,00,00*61"
2020-11-27T13:59:06.228513,"$GPHDT,118.1,T*3C"
2020-11-27T13:59:06.232543,"$HEROT,10.77,A*2A"
2020-11-27T13:59:06.342919,"$GPGGA,125906.10,5153.8079,N,00428.3681,E,2,9,0.9,11.2,M,44.9,M,,*6A"
2020-11-27T13:59:06.376463,"$HCHDT,94.6,T*12"
2020-11-27T13:59:06.387288,"$GPGGA,125904,5153.8080,N,00428.3700,E,2,04,06,+0006,M,+047,M,00,0000*6B"
2020-11-27T13:59:06.435287,"$WIMWV,350.2,R,16.1,N,A*11"
2020-11-27T13:59:06.507199,"$SDDPT,7.65,0.00,100.0*50"
2020-11-27T13:59:06.512420,"$HEROT,6.13,A*1F"
2020-11-27T13:59:06.530849,"$GPRMC,125904,A,5153.8080,N,00428.3700,E,007.1,117.,271120,01.,E*42"
2020-11-27T13:59:06.580807,"$WIMDA,30.0822,I,1.0187,B,6.7,C,,,,,,,98.2,T,97.7,M,9.0,N,4.6,M*1E"
2020-11-27T13:59:06.585736,"$SDDBT,25.10,f,7.65,M,4.18,F*09"
2020-11-27T13:59:06.629080,"$GPGLL,5153.8080,N,00428.3700,E,125904.00,A*07"
2020-11-27T13:59:06.630656,"$YXMTW,36.9,C*1E"
2020-11-27T13:59:06.704085,"$GPVTG,117.2,T,,,007.1,N,013.2,K*2E"
2020-11-27T13:59:06.710369,"$YXXDR,C,1.3,C,WCHR,C,2.7,C,WCHT,C,,C,HINX,P,1.0174,B,STNP*4F"
2020-11-27T13:59:06.724875,"$VDVBW,007.63,,A,00.00,00.00,V,,V,00.00,V*74"
2020-11-27T13:59:06.746752,"$GPROT,+0000.5,A*2F"
2020-11-27T13:59:06.787648,"$VDVLW,9917.01,N,5847.02,N*54"
2020-11-27T13:59:06.792256,"$YXXDR,A,-5.2,D,PTCH,A,-0.8,D,ROLL*52"
2020-11-27T13:59:06.798417,"$HEROT,0.93,A*11"
2020-11-27T13:59:06.811607,"$GPDTM,W84,,0,N,0,E,+0,W84*5A"
2020-11-27T13:59:06.832444,"$HCHDT,94.7,T*13"
2020-11-27T13:59:06.891330,"$WIMWV,350.3,R,15.6,N,A*14"
2020-11-27T13:59:06.896260,"$GPZDA,125904.00,27,11,2020,-02,00*47"
2020-11-27T13:59:06.978608,"$GPVTG,116.2,T,115.7,M,7.1,N,13.1,K,D*15"
2020-11-27T13:59:07.058180,"$GPZDA,125906.80,27,11,2020,00,00*62"
2020-11-27T13:59:07.084608,"$HEROT,-2.90,A*3D"
2020-11-27T13:59:07.228609,"$GPHDT,118.0,T*3D"
2020-11-27T13:59:07.344987,"$GPGGA,125907.10,5153.8068,N,00428.3708,E,2,9,0.9,10.4,M,44.9,M,,*6C"
2020-11-27T13:59:07.370609,"$HEROT,-5.53,A*35"
2020-11-27T13:59:07.376448,"$HCHDT,94.6,T*12"
2020-11-27T13:59:07.387324,"$GPGGA,125905,5153.8071,N,00428.3729,E,2,04,06,+0006,M,+047,M,00,0000*6F"
2020-11-27T13:59:07.437317,"$WIMWV,350.9,R,15.4,N,A*1C"
2020-11-27T13:59:07.511243,"$SDDPT,7.68,0.00,100.0*5D"
2020-11-27T13:59:07.530933,"$GPRMC,125905,A,5153.8071,N,00428.3729,E,007.1,116.,271120,01.,E*47"
2020-11-27T13:59:07.584994,"$WIMDA,30.0763,I,1.0185,B,6.7,C,,,,,,,101.0,T,100.5,M,8.4,N,4.3,M*18"
2020-11-27T13:59:07.589783,"$SDDBT,25.20,f,7.68,M,4.20,F*0C"
2020-11-27T13:59:07.629103,"$GPGLL,5153.8071,N,00428.3729,E,125905.00,A*03"
2020-11-27T13:59:07.630660,"$YXMTW,36.9,C*1E"
2020-11-27T13:59:07.656600,"$HEROT,-7.82,A*3B"
2020-11-27T13:59:07.704137,"$GPVTG,116.6,T,,,007.1,N,013.1,K*28"
2020-11-27T13:59:07.716441,"$YXXDR,C,1.3,C,WCHR,C,2.8,C,WCHT,C,,C,HINX,P,1.0173,B,STNP*47"
2020-11-27T13:59:07.730941,"$VDVBW,007.62,,A,00.00,00.00,V,,V,00.00,V*75"
2020-11-27T13:59:07.746739,"$GPROT,-0000.6,A*2A"
2020-11-27T13:59:07.794309,"$YXXDR,A,-4.4,D,PTCH,A,-0.2,D,ROLL*5F"
2020-11-27T13:59:07.797614,"$VDVLW,9917.01,N,5847.02,N*54"
2020-11-27T13:59:07.811614,"$GPDTM,W84,,0,N,0,E,+0,W84*5A"
2020-11-27T13:59:07.830521,"$HCHDT,94.3,T*17"
2020-11-27T13:59:07.889342,"$WIMWV,351.9,R,15.3,N,A*1A"
2020-11-27T13:59:07.894310,"$GPZDA,125905.00,27,11,2020,-02,00*46"
2020-11-27T13:59:07.942653,"$HEROT,-9.23,A*3E"
2020-11-27T13:59:07.978616,"$GPVTG,117.9,T,117.4,M,7.1,N,13.1,K,D*1E"
2020-11-27T13:59:08.058256,"$GPZDA,125907.70,27,11,2020,00,00*6C"
2020-11-27T13:59:08.228617,"$HEROT,-9.82,A*35"
2020-11-27T13:59:08.242629,"$GPHDT,117.6,T*34"
2020-11-27T13:59:08.342947,"$GPGGA,125908.10,5153.8059,N,00428.3734,E,2,9,0.9,9.9,M,44.9,M,,*5B"
2020-11-27T13:59:08.374516,"$HCHDT,93.9,T*1A"
2020-11-27T13:59:08.401378,"$GPGGA,125906,5153.8060,N,00428.3755,E,2,04,06,+0006,M,+047,M,00,0000*67"
2020-11-27T13:59:08.433429,"$WIMWV,352.8,R,15.5,N,A*1E"
2020-11-27T13:59:08.507292,"$SDDPT,7.74,0.00,100.0*50"
2020-11-27T13:59:08.514641,"$HEROT,-8.77,A*3E"
2020-11-27T13:59:08.544952,"$GPRMC,125906,A,5153.8060,N,00428.3755,E,007.1,116.,271120,01.,E*4F"
2020-11-27T13:59:08.583038,"$WIMDA,30.0733,I,1.0184,B,6.7,C,,,,,,,105.8,T,105.3,M,8.6,N,4.4,M*16"
2020-11-27T13:59:08.585886,"$SDDBT,25.39,f,7.74,M,4.23,F*0A"
2020-11-27T13:59:08.626510,"$YXMTW,36.9,C*1E"
2020-11-27T13:59:08.643137,"$GPGLL,5153.8060,N,00428.3755,E,125906.00,A*0B"
