timestamp,payload
2020-12-09T10:27:11.885362,"$GPZDA,092711.59,09,12,2020,00,00*6C"
2020-12-09T10:27:11.887640,"$HEROT,6.63,A*18"
2020-12-09T10:27:12.023759,"$YXXDR,C,-5.8,C,WCHR,C,-5.8,C,WCHT,C,,C,HINX,P,1.0077,B,STNP*4A"
2020-12-09T10:27:12.059791,"$HCHDT,256.6,T*2E"
2020-12-09T10:27:12.141477,"$YXXDR,A,-4.2,D,PTCH,A,-0.3,D,ROLL*58"
2020-12-09T10:27:12.174457,"$SDDPT,5.95,0.00,100.0*5D"
2020-12-09T10:27:12.177627,"$HEROT,7.19,A*14"
2020-12-09T10:27:12.196440,"$WIMWV,290.1,R,7.3,N,A*2D"
2020-12-09T10:27:12.233777,"$GPHDT,220.4,T*31"
2020-12-09T10:27:12.252928,"$SDDBT,19.52,f,5.95,M,3.25,F*04"
2020-12-09T10:27:12.276517,"$GPGGA,092710,5154.8029,N,00429.1969,E,2,04,01,+0006,M,+047,M,00,0000*6C"
2020-12-09T10:27:12.293637,"$YXMTW,36.8,C*1F"
2020-12-09T10:27:12.312128,"$GPRMC,092710,A,5154.8029,N,00429.1969,E,000.0,352.,091220,01.,E*48"
2020-12-09T10:27:12.336254,"$GPGLL,5154.8029,N,00429.1969,E,092710.00,A*07"
2020-12-09T10:27:12.355287,"$GPVTG,352.5,T,,,000.0,N,000.1,K*2D"
2020-12-09T10:27:12.363930,"$GPROT,-0000.9,A*25"
2020-12-09T10:27:12.380804,"$GPDTM,W84,,0,N,0,E,+0,W84*5A"
2020-12-09T10:27:12.401467,"$GPZDA,092711.00,09,12,2020,-02,00*4F"
2020-12-09T10:27:12.459644,"$HEROT,7.80,A*14"
2020-12-09T10:27:12.480190,"$GPGGA,092712.09,5154.8024,N,00429.1967,E,2,10,0.9,6.9,M,44.9,M,,*6A"
2020-12-09T10:27:12.515767,"$HCHDT,256.8,T*20"
2020-12-09T10:27:12.603662,"$GPVTG,206.5,T,206.0,M,0.0,N,0.0,K,D*23"
2020-12-09T10:27:12.658437,"$WIMWV,286.8,R,7.3,N,A*23"
2020-12-09T10:27:12.706101,"$VDVBW,000.42,,A,00.00,00.00,V,,V,00.00,V*70"
2020-12-09T10:27:12.745683,"$HEROT,8.01,A*12"
2020-12-09T10:27:12.768808,"$VDVLW,9968.19,N,5898.20,N*57"
2020-12-09T10:27:12.808314,"$WIMDA,29.7839,I,1.0086,B,-0.5,C,,,,,,,183.7,T,183.2,M,7.2,N,3.7,M*37"
2020-12-09T10:27:12.885405,"$GPZDA,092712.59,09,12,2020,00,00*6F"
2020-12-09T10:27:13.023772,"$YXXDR,C,-5.9,C,WCHR,C,-5.9,C,WCHT,C,,C,HINX,P,1.0078,B,STNP*45"
2020-12-09T10:27:13.031760,"$HEROT,7.05,A*19"
2020-12-09T10:27:13.057772,"$HCHDT,256.9,T*21"
2020-12-09T10:27:13.139454,"$YXXDR,A,-4.6,D,PTCH,A,0.7,D,ROLL*75"
2020-12-09T10:27:13.176473,"$SDDPT,5.98,0.00,100.0*50"
2020-12-09T10:27:13.194477,"$WIMWV,289.2,R,7.3,N,A*26"
2020-12-09T10:27:13.233813,"$GPHDT,220.3,T*36"
2020-12-09T10:27:13.254983,"$SDDBT,19.62,f,5.98,M,3.27,F*08"
2020-12-09T10:27:13.278569,"$GPGGA,092711,5154.8029,N,00429.1968,E,2,04,01,+0006,M,+047,M,00,0000*6C"
2020-12-09T10:27:13.295727,"$YXMTW,36.8,C*1F"
2020-12-09T10:27:13.312191,"$GPRMC,092711,A,5154.8029,N,00429.1968,E,000.0,017.,091220,01.,E*4A"
2020-12-09T10:27:13.317820,"$HEROT,5.40,A*1A"
2020-12-09T10:27:13.336312,"$GPGLL,5154.8029,N,00429.1968,E,092711.00,A*07"
2020-12-09T10:27:13.355386,"$GPVTG,017.9,T,,,000.0,N,000.1,K*23"
2020-12-09T10:27:13.363987,"$GPROT,-0001.6,A*2B"
2020-12-09T10:27:13.380854,"$GPDTM,W84,,0,N,0,E,+0,W84*5A"
2020-12-09T10:27:13.401528,"$GPZDA,092712.00,09,12,2020,-02,00*4C"
2020-12-09T10:27:13.482232,"$GPGGA,092713.09,5154.8024,N,00429.1966,E,2,10,0.9,7.0,M,44.9,M,,*62"
2020-12-09T10:27:13.515817,"$HCHDT,256.9,T*21"
2020-12-09T10:27:13.603777,"$GPVTG,311.8,T,311.3,M,0.1,N,0.1,K,D*2D"
2020-12-09T10:27:13.605778,"$HEROT,4.17,A*19"
2020-12-09T10:27:13.658656,"$WIMWV,288.1,R,7.2,N,A*25"
2020-12-09T10:27:13.708139,"$VDVBW,000.42,,A,00.00,00.00,V,,V,00.00,V*70"
2020-12-09T10:27:13.770848,"$VDVLW,9968.19,N,5898.20,N*57"
2020-12-09T10:27:13.810316,"$WIMDA,29.7810,I,1.0085,B,-0.5,C,,,,,,,184.4,T,183.9,M,7.2,N,3.7,M*30"
2020-12-09T10:27:13.885505,"$GPZDA,092713.59,09,12,2020,00,00*6E"
2020-12-09T10:27:13.887781,"$HEROT,4.84,A*13"
2020-12-09T10:27:14.023871,"$YXXDR,C,-5.7,C,WCHR,C,-5.7,C,WCHT,C,,C,HINX,P,1.0077,B,STNP*4A"
2020-12-09T10:27:14.059836,"$HCHDT,256.7,T*2F"
2020-12-09T10:27:14.139573,"$YXXDR,A,-3.6,D,PTCH,A,2.7,D,ROLL*70"
2020-12-09T10:27:14.173846,"$HEROT,7.05,A*19"
2020-12-09T10:27:14.178530,"$SDDPT,6.04,0.00,100.0*56"
2020-12-09T10:27:14.194532,"$WIMWV,286.8,R,7.2,N,A*22"
2020-12-09T10:27:14.233859,"$GPHDT,220.2,T*37"
2020-12-09T10:27:14.257042,"$SDDBT,19.81,f,6.04,M,3.30,F*05"
2020-12-09T10:27:14.276621,"$GPGGA,092712,5154.8031,N,00429.1967,E,2,04,01,+0006,M,+047,M,00,0000*69"
2020-12-09T10:27:14.297786,"$YXMTW,36.8,C*1F"
2020-12-09T10:27:14.312203,"$GPRMC,092712,A,5154.8031,N,00429.1967,E,000.0,086.,091220,01.,E*47"
2020-12-09T10:27:14.336369,"$GPGLL,5154.8031,N,00429.1967,E,092712.00,A*02"
2020-12-09T10:27:14.355419,"$GPVTG,086.1,T,,,000.0,N,000.1,K*23"
2020-12-09T10:27:14.364029,"$GPROT,-0002.1,A*2F"
2020-12-09T10:27:14.380929,"$GPDTM,W84,,0,N,0,E,+0,W84*5A"
2020-12-09T10:27:14.401617,"$GPZDA,092713.00,09,12,2020,-02,00*4D"
2020-12-09T10:27:14.459789,"$HEROT,9.89,A*13"
2020-12-09T10:27:14.478292,"$GPGGA,092714.09,5154.8024,N,00429.1966,E,2,9,1.2,7.0,M,44.9,M,,*57"
2020-12-09T10:27:14.515881,"$HCHDT,256.6,T*2E"
2020-12-09T10:27:14.601790,"$GPVTG,328.3,T,327.8,M,0.1,N,0.1,K,D*22"
2020-12-09T10:27:14.656551,"$WIMWV,283.2,R,7.8,N,A*27"
2020-12-09T10:27:14.747933,"$HEROT,11.81,A*22"
2020-12-09T10:27:14.808383,"$WIMDA,29.7810,I,1.0085,B,-0.5,C,,,,,,,179.3,T,178.8,M,7.8,N,4.0,M*3A"
2020-12-09T10:27:14.820212,"$VDVBW,000.41,,A,00.00,00.00,V,,V,00.00,V*73"
2020-12-09T10:27:14.882928,"$VDVLW,9968.19,N,5898.20,N*57"
2020-12-09T10:27:14.887568,"$GPZDA,092714.59,09,12,2020,00,00*69"
2020-12-09T10:27:15.021929,"$YXXDR,C,-6.1,C,WCHR,C,-6.1,C,WCHT,C,,C,HINX,P,1.0077,B,STNP*4A"
2020-12-09T10:27:15.033890,"$HEROT,13.40,A*2D"
2020-12-09T10:27:15.057936,"$HCHDT,256.5,T*2D"
2020-12-09T10:27:15.139535,"$YXXDR,A,-4.3,D,PTCH,A,1.6,D,ROLL*70"
2020-12-09T10:27:15.174568,"$SDDPT,6.03,0.00,100.0*51"
2020-12-09T10:27:15.194640,"$WIMWV,277.6,R,8.1,N,A*2E"
2020-12-09T10:27:15.233904,"$GPHDT,220.3,T*36"
2020-12-09T10:27:15.253123,"$SDDBT,19.78,f,6.03,M,3.29,F*0C"
2020-12-09T10:27:15.278676,"$GPGGA,092713,5154.8031,N,00429.1968,E,2,04,01,+0006,M,+047,M,00,0000*67"
2020-12-09T10:27:15.295798,"$YXMTW,36.8,C*1F"
2020-12-09T10:27:15.312250,"$GPRMC,092713,A,5154.8031,N,00429.1968,E,000.0,108.,091220,01.,E*4E"
2020-12-09T10:27:15.319899,"$HEROT,14.02,A*2C"
2020-12-09T10:27:15.336417,"$GPGLL,5154.8031,N,00429.1968,E,092713.00,A*0C"
2020-12-09T10:27:15.355493,"$GPVTG,108.4,T,,,000.0,N,000.0,K*20"
2020-12-09T10:27:15.364071,"$GPROT,-0001.6,A*2B"
2020-12-09T10:27:15.380991,"$GPDTM,W84,,0,N,0,E,+0,W84*5A"
2020-12-09T10:27:15.401653,"$GPZDA,092714.00,09,12,2020,-02,00*4A"
2020-12-09T10:27:15.480354,"$GPGGA,092715.09,5154.8024,N,00429.1966,E,2,10,0.9,7.0,M,44.9,M,,*64"
2020-12-09T10:27:15.515906,"$HCHDT,256.3,T*2B"
2020-12-09T10:27:15.603843,"$GPVTG,117.6,T,117.1,M,0.0,N,0.0,K,D*21"
2020-12-09T10:27:15.605946,"$HEROT,14.14,A*2B"
2020-12-09T10:27:15.658609,"$WIMWV,274.9,R,7.9,N,A*25"
2020-12-09T10:27:15.708250,"$VDVBW,000.41,,A,00.00,00.00,V,,V,00.00,V*73"
2020-12-09T10:27:15.770948,"$VDVLW,9968.19,N,5898.20,N*57"
2020-12-09T10:27:15.810469,"$WIMDA,29.7810,I,1.0085,B,-0.5,C,,,,,,,171.2,T,170.7,M,7.9,N,4.1,M*34"
2020-12-09T10:27:15.885598,"$GPZDA,092715.59,09,12,2020,00,00*68"
2020-12-09T10:27:15.889973,"$HEROT,13.27,A*2C"
2020-12-09T10:27:16.023954,"$YXXDR,C,-6.0,C,WCHR,C,-5.9,C,WCHT,C,,C,HINX,P,1.0077,B,STNP*40"
2020-12-09T10:27:16.059989,"$HCHDT,256.1,T*29"
2020-12-09T10:27:16.139599,"$YXXDR,A,-4.3,D,PTCH,A,0.1,D,ROLL*76"
2020-12-09T10:27:16.175967,"$HEROT,11.52,A*2C"
2020-12-09T10:27:16.180625,"$SDDPT,6.00,0.00,100.0*52"
2020-12-09T10:27:16.194679,"$WIMWV,275.6,R,7.4,N,A*26"
2020-12-09T10:27:16.233958,"$GPHDT,220.4,T*31"
2020-12-09T10:27:16.257156,"$SDDBT,19.68,f,6.00,M,3.28,F*0F"
2020-12-09T10:27:16.278846,"$GPGGA,092714,5154.8016,N,00429.1965,E,2,06,01,+0006,M,+047,M,00,0000*6A"
2020-12-09T10:27:16.297861,"$YXMTW,36.8,C*1F"
2020-12-09T10:27:16.312303,"$GPRMC,092714,A,5154.8016,N,00429.1965,E,000.0,115.,091220,01.,E*4D"
2020-12-09T10:27:16.336504,"$GPGLL,5154.8016,N,00429.1965,E,092714.00,A*03"
2020-12-09T10:27:16.355555,"$GPVTG,115.7,T,,,000.0,N,000.1,K*2E"
2020-12-09T10:27:16.364219,"$GPROT,-0001.1,A*2C"
2020-12-09T10:27:16.381021,"$GPDTM,W84,,0,N,0,E,+0,W84*5A"
2020-12-09T10:27:16.401706,"$GPZDA,092715.00,09,12,2020,-02,00*4B"
2020-12-09T10:27:16.459864,"$HEROT,9.35,A*14"
2020-12-09T10:27:16.482404,"$GPGGA,092716.09,5154.8025,N,00429.1966,E,2,10,0.9,7.0,M,44.9,M,,*66"
2020-12-09T10:27:16.516006,"$HCHDT,256.0,T*28"
2020-12-09T10:27:16.604000,"$GPVTG,106.6,T,106.1,M,0.1,N,0.1,K,D*21"
2020-12-09T10:27:16.658740,"$WIMWV,284.0,R,6.9,N,A*22"
2020-12-09T10:27:16.700308,"$VDVBW,000.41,,A,00.00,00.00,V,,V,00.00,V*73"
2020-12-09T10:27:16.745986,"$HEROT,7.11,A*1C"
2020-12-09T10:27:16.765020,"$VDVLW,9968.19,N,5898.20,N*57"
2020-12-09T10:27:16.810498,"$WIMDA,29.7810,I,1.0085,B,-0.5,C,,,,,,,180.8,T,180.3,M,6.8,N,3.5,M*38"
2020-12-09T10:27:16.885628,"$GPZDA,092716.59,09,12,2020,00,00*6B"
2020-12-09T10:27:17.024041,"$YXXDR,C,-5.7,C,WCHR,C,-5.7,C,WCHT,C,,C,HINX,P,1.0077,B,STNP*4A"
2020-12-09T10:27:17.031900,"$HEROT,4.88,A*1F"
2020-12-09T10:27:17.059993,"$HCHDT,256.1,T*29"
2020-12-09T10:27:17.141728,"$YXXDR,A,-3.9,D,PTCH,A,-1.2,D,ROLL*54"
2020-12-09T10:27:17.174699,"$SDDPT,5.97,0.00,100.0*5F"
2020-12-09T10:27:17.196690,"$WIMWV,284.4,R,7.3,N,A*2D"
2020-12-09T10:27:17.234172,"$GPHDT,220.3,T*36"
2020-12-09T10:27:17.251272,"$SDDBT,19.58,f,5.97,M,3.26,F*0F"
2020-12-09T10:27:17.278823,"$GPGGA,092715,5154.8031,N,00429.1989,E,2,06,01,+0006,M,+047,M,00,0000*6C"
2020-12-09T10:27:17.293898,"$YXMTW,36.8,C*1F"
2020-12-09T10:27:17.312370,"$GPRMC,092715,A,5154.8031,N,00429.1989,E,000.0,117.,091220,01.,E*49"
2020-12-09T10:27:17.317969,"$HEROT,3.52,A*1F"
2020-12-09T10:27:17.336541,"$GPGLL,5154.8031,N,00429.1989,E,092715.00,A*05"
2020-12-09T10:27:17.355576,"$GPVTG,117.9,T,,,000.0,N,000.1,K*22"
2020-12-09T10:27:17.364230,"$GPROT,-0001.6,A*2B"
2020-12-09T10:27:17.381052,"$GPDTM,W84,,0,N,0,E,+0,W84*5A"
2020-12-09T10:27:17.401910,"$GPZDA,092716.00,09,12,2020,-02,00*48"
2020-12-09T10:27:17.478477,"$GPGGA,092717.09,5154.8025,N,00429.1966,E,2,9,1.2,7.0,M,44.9,M,,*55"
2020-12-09T10:27:17.514118,"$HCHDT,256.4,T*2C"
2020-12-09T10:27:17.601999,"$GPVTG,169.8,T,169.3,M,0.0,N,0.0,K,D*2D"
2020-12-09T10:27:17.603976,"$HEROT,3.32,A*19"
2020-12-09T10:27:17.656728,"$WIMWV,279.9,R,7.3,N,A*22"
2020-12-09T10:27:17.704362,"$VDVBW,000.41,,A,00.00,00.00,V,,V,00.00,V*73"
2020-12-09T10:27:17.769064,"$VDVLW,9968.19,N,5898.20,N*57"
2020-12-09T10:27:17.808555,"$WIMDA,29.7810,I,1.0085,B,-0.5,C,,,,,,,176.3,T,175.8,M,7.3,N,3.8,M*3C"
2020-12-09T10:27:17.883722,"$GPZDA,092717.59,09,12,2020,00,00*6A"
2020-12-09T10:27:17.889966,"$HEROT,4.23,A*1E"
2020-12-09T10:27:18.022050,"$YXXDR,C,-5.9,C,WCHR,C,-5.9,C,WCHT,C,,C,HINX,P,1.0077,B,STNP*4A"
2020-12-09T10:27:18.058048,"$HCHDT,256.6,T*2E"
2020-12-09T10:27:18.137759,"$YXXDR,A,-4.8,D,PTCH,A,0.6,D,ROLL*7A"
2020-12-09T10:27:18.174016,"$HEROT,6.05,A*18"
2020-12-09T10:27:18.178766,"$SDDPT,6.03,0.00,100.0*51"
2020-12-09T10:27:18.192744,"$WIMWV,277.8,R,7.4,N,A*2A"
2020-12-09T10:27:18.255293,"$SDDBT,19.78,f,6.03,M,3.29,F*0C"
2020-12-09T10:27:18.258145,"$GPHDT,220.1,T*34"
2020-12-09T10:27:18.298875,"$GPGGA,092716,5154.8040,N,00429.1996,E,2,07,01,+0008,M,+047,M,00,0000*68"
2020-12-09T10:27:18.300442,"$YXMTW,36.8,C*1F"
2020-12-09T10:27:18.332420,"$GPRMC,092716,A,5154.8040,N,00429.1996,E,000.1,119.,091220,01.,E*4D"
2020-12-09T10:27:18.356608,"$GPGLL,5154.8040,N,00429.1996,E,092716.00,A*0E"
2020-12-09T10:27:18.375647,"$GPVTG,119.4,T,,,000.1,N,000.1,K*20"
2020-12-09T10:27:18.384267,"$GPROT,-0002.4,A*2A"
2020-12-09T10:27:18.401129,"$GPDTM,W84,,0,N,0,E,+0,W84*5A"
2020-12-09T10:27:18.421843,"$GPZDA,092717.00,09,12,2020,-02,00*49"
2020-12-09T10:27:18.459983,"$HEROT,8.09,A*1A"
2020-12-09T10:27:18.478410,"$GPGGA,092718.09,5154.8025,N,00429.1966,E,2,9,1.2,6.9,M,44.9,M,,*52"
2020-12-09T10:27:18.516071,"$HCHDT,256.7,T*2F"
2020-12-09T10:27:18.601982,"$GPVTG,315.8,T,315.3,M,0.1,N,0.1,K,D*2D"
2020-12-09T10:27:18.656880,"$WIMWV,278.9,R,7.4,N,A*24"
2020-12-09T10:27:18.708424,"$VDVBW,000.40,,A,00.00,00.00,V,,V,00.00,V*72"
2020-12-09T10:27:18.746052,"$HEROT,9.90,A*1B"
2020-12-09T10:27:18.771206,"$VDVLW,9968.19,N,5898.20,N*57"
2020-12-09T10:27:18.808618,"$WIMDA,29.7810,I,1.0085,B,-0.5,C,,,,,,,175.1,T,174.6,M,7.4,N,3.8,M*35"
2020-12-09T10:27:18.885888,"$GPZDA,092718.59,09,12,2020,00,00*65"
2020-12-09T10:27:19.022107,"$YXXDR,C,-5.9,C,WCHR,C,-5.9,C,WCHT,C,,C,HINX,P,1.0077,B,STNP*4A"
2020-12-09T10:27:19.034215,"$HEROT,11.44,A*2B"
2020-12-09T10:27:19.058176,"$HCHDT,256.4,T*2C"
2020-12-09T10:27:19.137846,"$YXXDR,A,-4.1,D,PTCH,A,2.5,D,ROLL*72"
2020-12-09T10:27:19.178847,"$SDDPT,6.04,0.00,100.0*56"
2020-12-09T10:27:19.192846,"$WIMWV,279.1,R,7.7,N,A*2E"
2020-12-09T10:27:19.244139,"$GPHDT,220.1,T*34"
2020-12-09T10:27:19.257324,"$SDDBT,19.81,f,6.04,M,3.30,F*05"
2020-12-09T10:27:19.288890,"$GPGGA,092717,5154.8043,N,00429.1994,E,2,08,01,+0009,M,+047,M,00,0000*66"
2020-12-09T10:27:19.298219,"$YXMTW,36.8,C*1F"
2020-12-09T10:27:19.322479,"$GPRMC,092717,A,5154.8043,N,00429.1994,E,000.1,123.,091220,01.,E*44"
2020-12-09T10:27:19.324132,"$HEROT,12.31,A*2A"
2020-12-09T10:27:19.346649,"$GPGLL,5154.8043,N,00429.1994,E,092717.00,A*0E"
2020-12-09T10:27:19.365754,"$GPVTG,123.5,T,,,000.1,N,000.1,K*28"
2020-12-09T10:27:19.374310,"$GPROT,-0002.3,A*2D"
2020-12-09T10:27:19.391178,"$GPDTM,W84,,0,N,0,E,+0,W84*5A"
2020-12-09T10:27:19.411898,"$GPZDA,092718.00,09,12,2020,-02,00*46"
2020-12-09T10:27:19.478474,"$GPGGA,092719.09,5154.8024,N,00429.1966,E,2,9,1.2,6.9,M,44.9,M,,*52"
2020-12-09T10:27:19.514310,"$HCHDT,256.1,T*29"
2020-12-09T10:27:19.602241,"$GPVTG,341.9,T,341.4,M,0.1,N,0.1,K,D*2B"
2020-12-09T10:27:19.604136,"$HEROT,12.56,A*2B"
2020-12-09T10:27:19.656897,"$WIMWV,279.1,R,7.8,N,A*21"
2020-12-09T10:27:19.706473,"$VDVBW,000.40,,A,00.00,00.00,V,,V,00.00,V*72"
2020-12-09T10:27:19.769277,"$VDVLW,9968.19,N,5898.20,N*57"
2020-12-09T10:27:19.808665,"$WIMDA,29.7839,I,1.0086,B,-0.5,C,,,,,,,174.9,T,174.4,M,7.8,N,4.0,M*35"
2020-12-09T10:27:19.885887,"$GPZDA,092719.59,09,12,2020,00,00*64"
2020-12-09T10:27:19.890200,"$HEROT,12.18,A*21"
2020-12-09T10:27:20.022168,"$YXXDR,C,-6.0,C,WCHR,C,-6.0,C,WCHT,C,,C,HINX,P,1.0078,B,STNP*45"
2020-12-09T10:27:20.058169,"$HCHDT,255.9,T*22"
2020-12-09T10:27:20.137866,"$YXXDR,A,-3.5,D,PTCH,A,2.3,D,ROLL*77"
2020-12-09T10:27:20.174900,"$SDDPT,6.06,0.00,100.0*54"
2020-12-09T10:27:20.178192,"$HEROT,11.63,A*2E"
2020-12-09T10:27:20.192859,"$WIMWV,279.2,R,7.9,N,A*23"
2020-12-09T10:27:20.234194,"$GPHDT,220.2,T*37"
