1597752552.2674487,0.0032903333333333335,0.023256333333333334,156.553,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752552.460954,0.0032803333333333335,0.023260333333333334,156.524,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752552.5612357,0.0032708333333333335,0.023264166666666666,156.51,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752552.7642617,0.003266,0.023266166666666664,156.481,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752552.8644822,0.0032558333333333332,0.023270166666666665,156.466,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752553.0574818,0.0032511666666666665,0.023272166666666667,156.439,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752553.1641462,0.0032465,0.023274,156.424,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752553.3588316,0.0032365000000000002,0.023278,156.396,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752553.4649982,0.0032316666666666665,0.023280000000000002,156.381,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752553.6646428,0.0032218333333333335,0.023284000000000003,156.353,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752553.862318,0.0032125,0.023287833333333334,156.326,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752554.0597048,0.0032026666666666666,0.023291833333333335,156.298,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752554.1637094,0.0031973333333333337,0.023294,156.284,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752554.3632646,0.0031878333333333333,0.023297833333333334,156.257,180.0,180.0,181.15,226.1,226.1,227.173044
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752554.5561733,0.003178166666666667,0.023301833333333334,156.232,183.75,187.1,181.15,232.52150600000002,238.67674599999998,227.173044
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752554.6629732,0.0031735,0.023303666666666667,156.218,183.75,187.1,190.0,232.52150600000002,238.67674599999998,244.40984399999996
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752554.857206,0.0031635,0.023307833333333337,156.195,192.75,196.1,190.0,250.177788,256.40484799999996,244.40984399999996
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752554.9615388,0.0031588333333333334,0.02330983333333333,156.183,192.75,196.1,199.0,250.177788,256.40484799999996,262.18689
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752555.0614595,0.003148833333333333,0.023314166666666667,156.174,201.75,196.1,199.0,265.967282,256.40484799999996,262.18689
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752555.2562823,0.003144166666666667,0.02331616666666667,156.16,201.75,205.2,208.1,265.967282,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752555.364223,0.0031393333333333334,0.023318166666666664,156.154,210.5,205.2,208.1,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752555.4643111,0.0031341666666666666,0.0233205,156.15,210.5,214.25,208.1,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752555.5646958,0.0031245,0.023324833333333333,156.148,219.7,214.25,217.25,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752555.7631288,0.003119666666666667,0.023327,156.146,219.7,223.2,217.25,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
