1597751857.3736324,-0.008792666666666667,0.028498000000000002,316.853,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597751857.5678241,-0.008785333333333334,0.028489666666666667,317.118,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597751857.771668,-0.008778333333333332,0.028482,317.399,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597751857.873459,-0.008770833333333334,0.028473666666666668,317.532,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597751858.0656073,-0.008767333333333332,0.028469833333333337,317.794,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597751858.2689483,-0.008760166666666668,0.028462166666666667,318.069,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597751858.369469,-0.008752666666666666,0.028454,318.199,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597751858.4778543,-0.008749333333333333,0.028450333333333334,318.322,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597751858.6760674,-0.008745333333333332,0.028446166666666665,318.588,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597751858.8678377,-0.008738,0.028438333333333333,318.852,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597751858.9726174,-0.008734333333333334,0.028434666666666667,318.983,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597751859.1682546,-0.008727,0.028426833333333335,319.239,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597751859.3676713,-0.008719833333333335,0.0284195,319.493,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597751859.5686553,-0.008712500000000001,0.028412,319.745,180.0,180.0,180.0,226.1,226.1,226.1
