1603292245.132051,0.004277666666666667,-0.0001115,0.307252,0.0,180.0,0.0,0.0,0.0,0.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292245.4263074,0.004277666666666667,-0.0001115,0.30783,180.0,180.0,180.0,0.0,0.0,0.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292245.7268074,0.004277666666666667,-0.0001115,0.308434,180.0,180.0,180.0,0.0,0.0,0.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292246.03268,0.0042775,-0.0001115,0.309052,180.0,180.0,180.0,0.0,0.0,0.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292246.3292232,0.0042775,-0.00011166666666666667,0.309628,180.0,180.0,180.0,0.0,0.0,0.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292246.629515,0.004277333333333333,-0.00011166666666666667,0.310206,180.0,180.0,180.0,0.0,0.0,0.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292246.9304957,0.004277333333333333,-0.00011183333333333333,0.310753,180.0,180.0,180.0,0.0,0.0,0.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292247.2282481,0.004277333333333333,-0.00011183333333333333,0.311284,180.0,180.0,180.0,0.0,0.0,0.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292247.5291948,0.004277333333333333,-0.00011183333333333333,0.311815,180.0,180.0,181.0,0.0,0.0,0.72327262
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292247.8311975,0.004277333333333333,-0.00011183333333333333,0.312581,180.0,180.0,189.95,0.0,0.0,11.1165922
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292248.1335757,0.004277333333333333,-0.00011183333333333333,0.31461,180.0,180.0,199.0,0.0,0.0,25.2374682
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292248.427025,0.004277333333333333,-0.00011183333333333333,0.320358,180.0,180.0,208.1,0.0,0.0,42.844088
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292248.7280767,0.004277333333333333,-0.00011183333333333333,0.335305,180.0,180.0,216.9,0.0,0.11929701,63.32741800000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
